3426,1721
3086,1758
3466,1534
3140,1385
1921,1201
2869,1382
1263,1553
3448,1006
2670,1711
3399,1122
816,4715
2732,1852
2884,7041
716,1200
1288,1705
2161,2161
2925,1139
3603,3701
2818,1882
1825,1392
3281,1069
356,1054
1950,5899
2835,14167
2162,1219
1121,1586
2236,1172
3192,1306
2198,1665
3586,2174
2019,2260
2063,1036
3397,4886
1414,1443
1592,1091
3055,1838
2862,6748
1538,2081
3623,1582
1342,1180
2854,1580
3120,8551
2225,1407
497,1260
3232,1521
2704,1028
3307,3992
3584,2062
1691,2043
1447,2405
1908,1670
2509,1229
2750,2898
2249,2074
2433,1003
2560,1905
3051,5572
3262,7303
1688,2201
1397,1289
3154,1782
2205,8204
3613,5147
3237,1197
2030,1682
815,1895
1670,1207
1688,2596
1593,2572
1425,2340
2773,3193
2706,1103
1370,2132
1766,1222
3164,1375
1777,2816
3623,1894
965,1031
3146,4120
2850,1855
2300,1468
2887,2110
1837,1166
1378,1086
2859,2521
2515,1089
2266,2589
3467,2861
1648,1052
2673,1114
3070,2598
2235,1218
1665,1283
2771,1024
1427,1988
3040,3414
2516,1200
903,1606
3622,8826
2241,1477
1852,1530
1955,1635
3140,1707
3439,1315
2749,1363
2126,1989
1189,2052
3412,2324
3624,2993
2811,3669
2272,1292
2436,13436
2385,3249
2009,1050
1079,1754
2300,1115
1990,1020
2711,6504
1959,1761
1618,1070
3302,2419
2814,1467
1451,1293
2723,2513
2239,1383
3228,2517
3221,1764
2665,2346
2266,1881
2884,3352
2465,1177
1805,1738
3262,1292
3196,2540
2694,2360
2368,1452
1253,1561
2369,1219
1980,1289
2353,1575
1830,1070
2313,5733
1984,1116
2828,1004
3123,1580
3565,3554
1716,1739
2477,6119
2713,2749
2159,1294
2515,1498
3560,1339
2294,3069
1669,1744
2082,1439
1996,1057
3603,1079
3260,1769
1599,1497
1747,6226
2779,1301
2725,2696
1267,1126
1304,1101
2849,1332
1808,1242
2626,1395
2280,1065
2045,1260
1424,1253
2761,1090
940,1833
2828,2059
959,1721
2764,1528
2696,2318
1644,2340
2781,2641
2783,1120
2237,1800
1922,1364
3449,1127
3023,2154
1396,1940
1691,1603
1445,12317
2809,1192
1277,4241
3239,1508
3622,1073
2475,2252
2296,1043
1531,3183
3108,4266
2436,3456
2704,1160
3032,1134
3292,2191
3503,6124
2208,5069
1402,1518
3213,1202
